12:57:28 01-03-2021

Description:,Example estimation result for NMR-EsPy docs.

Experiment Info:
Sweep Width (Hz),5494.51
Sweep Width (ppm),10.9861
Transmitter Offset (Hz),2249.21
Transmitter Offset (ppm),4.49722
Transmitter Frequency (MHz),500.132
Basic Frequency (MHz),500.13
Nucleus,1H
Filter region (Hz):,2770.79 - 2710.76
Filter region (ppm):,5.54011 - 5.42008

Result:
Osc.,Amp.,Phase (rad),Freq. (Hz),Freq. (ppm),Damp. (s⁻¹),Integ.,Norm. Integ.
1,32944,0.035937,2719.8,5.4382,9.2811,2910400000,0.35234
2,34672,0.018153,2725.3,5.4492,9.2949,3062600000,0.37076
3,33339,0.013097,2728.4,5.4554,9.0473,2954200000,0.35764
4,30102,-0.0064704,2733.8,5.4662,8.8962,2672600000,0.32355
5,31340,0.019076,2743.1,5.4848,7.6078,2833400000,0.34301
6,33583,-0.0078857,2748.6,5.4957,7.6655,3033500000,0.36724
7,32940,-0.008187,2753.5,5.5056,7.6256,2977200000,0.36043
8,32178,-0.02753,2758.9,5.5164,7.9319,2895200000,0.35049
9,2165.9,0.001494,2766.4,5.5314,9.4389,190970000,0.023119
